index,Bowl,Date,Notes,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
671,Alamo Bowl,12/30/2006,"San Antonio, TX",26,24,Texas (18),Iowa,1,1,1,1,1,1
672,Chick-fil-A Bowl,12/30/2006,"Atlanta, GA",31,24,Georgia,Virginia Tech (14),1,1,1,1,1,1
673,Meineke Car Care Bowl,12/30/2006,"Charlotte, NC",25,24,Boston College (23),Navy,1,1,1,1,1,1
674,Champs Sports Bowl,12/29/2006,"Orlando, FL",24,7,Maryland,Purdue,1,1,1,1,1,1
675,Insight Bowl,12/29/2006,"Tempe, AZ",44,41,Texas Tech,Minnesota,1,1,1,1,1,1
676,Liberty Bowl,12/29/2006,"Memphis, TN",44,36,South Carolina,Houston,1,1,1,1,1,1
677,Music City Bowl,12/29/2006,"Nashville, TN",28,20,Kentucky,Clemson,1,1,1,1,1,1
678,Sun Bowl,12/29/2006,"El Paso, TX",39,38,Oregon State (24),Missouri,1,1,1,1,1,1
679,Holiday Bowl,12/28/2006,"San Diego, CA",45,10,California (20),Texas A&M (21),1,1,1,1,1,1
680,Independence Bowl,12/28/2006,"Shreveport, LA",34,31,Oklahoma State,Alabama,1,1,1,1,1,1
681,Texas Bowl,12/28/2006,"Houston, TX",37,10,Rutgers (16),Kansas State,1,1,1,1,1,1
682,Emerald Bowl,12/27/2006,"San Francisco, CA",44,27,Florida State,UCLA,1,1,1,1,1,1
683,Motor City Bowl,12/26/2006,"Detroit, MI",31,14,Central Michigan,Middle Tennessee State,1,1,1,1,1,1
684,Hawaii Bowl,12/24/2006,"Honolulu, HI",41,24,Hawaii,Arizona State,1,1,1,1,1,1
685,Armed Forces Bowl,12/23/2006,"Fort Worth, TX",25,13,Utah,Tulsa,1,1,1,1,1,1
686,New Mexico Bowl,12/23/2006,"Albuquerque, NM",20,12,San Jose State,New Mexico,1,1,1,1,1,1
687,PapaJohns.com Bowl,12/23/2006,"Birmingham, AL",24,7,South Florida,East Carolina,1,1,1,1,1,1
688,New Orleans Bowl,12/22/2006,"New Orleans, LA",41,17,Troy,Rice,1,1,1,1,1,1
689,Las Vegas Bowl,12/21/2006,"Las Vegas, NV",38,8,Brigham Young (19),Oregon,1,1,1,1,1,1
690,Poinsettia Bowl,12/19/2006,"San Diego, CA",37,7,Texas Christian (25),Northern Illinois,1,1,1,1,1,1
691,BCS Championship,1/7/2008,"New Orleans, LA",38,24,Louisiana State (2),Ohio State (1),1,1,1,1,1,1
692,GMAC Bowl,1/6/2008,"Mobile, AL",63,7,Tulsa,Bowling Green State,1,1,1,1,1,1
693,International Bowl,1/5/2008,"Toronto, Canada",52,30,Rutgers,Ball State,1,1,1,1,1,1
694,Orange Bowl,1/3/2008,"Miami, FL",24,21,Kansas (8),Virginia Tech (5),1,1,1,1,1,1
695,Fiesta Bowl,1/2/2008,"Glendale, AZ",48,28,West Virginia (11),Oklahoma (3),1,1,1,1,1,1
696,Capital One Bowl,1/1/2008,"Orlando, FL",41,35,Michigan,Florida (9),1,1,1,1,1,1
697,Cotton Bowl,1/1/2008,"Dallas, TX",38,7,Missouri (7),Arkansas (25),1,1,1,1,1,1
